acha 259
aibu 59
aina 128
akili 97
alama 56
alifanya 61
alipata 177
alisema 177
aliye 55
ambavyo 54
ambayo 260
ambazo 67
amerika 90
ana 189
anafikiria 60
anahitaji 74
anajua 51
anaonekana 90
anapata 67
anapenda 69
anapiga 60
anasema 102
anataka 116
anaweza 147
android 52
angalau 50
asasioe 137
asubuhi 101
awe 59
baba 129
badala 71
bae 75
bahati 85
bandia 93
baridi 152
bet 62
biashara 65
bitch 2879
bitcyeye 272
bora 375
bout 115
brown 55
brownie 90
bruh 129
bubu 254
bure 97
bwege 90
chake 61
chako 78
chakula 153
changu 157
charlie 297
chuki 72
chumba 54
cuz 88
cyeye 135
daima 54
darasa 74
dat 179
dawa 60
dhaifu 62
dick 303
dis 72
dude 77
dyke 80
endelea 51
fag 77
fagot 468
familia 69
fanya 96
finna 52
fuck 354
fuckin 178
fulani 80
funga 73
furaha 98
gani 184
gari 148
gon 68
gyeye 247
habari 79
hadithi 81
haha 143
haifanyi 69
haiwezi 102
haki 69
hakika 84
hakuna 687
hali 91
halisi 234
hatua 52
hawa 162
hawawezi 56
hawezi 65
haya 595
hayo 65
hicho 80
hiki 105
hilo 178
hilus 108
hisia 71
hoe 122
hucyeye 54
huenda 68
hufanya 176
hupata 90
hupiga 53
huwa 67
huwezi 120
huyo 480
huyu 630
idk 60
ikiwa 1313
iko 85
ima 119
imekuwa 54
imma 54
ina 82
inamaanisha 59
inaonekana 101
instagram 53
ion 72
ipad 50
iphone 77
isipokuwa 97
iwe 107
jamaa 200
jamani 147
jambazi 80
jambo 102
jana 92
jaribu 59
jembe 1861
jihadi 68
jike 51
jina 153
jogoo 129
joto 80
jumla 54
jus 61
kaa 72
kabisa 178
kadhaa 77
kaka 124
kamili 83
kamwe 164
karibuni 57
karma 52
kawaida 107
kazi 352
kelele 142
kesho 55
kibaya 108
kichwa 179
kidogo 521
kifaranga 60
kijana 203
kijinga 229
kike 122
kilabu 60
kile 139
kitako 100
kitambi 71
kitanda 160
kitita 350
kitoto 817
kiu 67
kiwango 58
kuacha 77
kuangalia 61
kuanza 76
kuchukua 154
kucyeye 322
kufa 54
kufanya 315
kufikiria 72
kuhusu 125
kujaribu 120
kujua 90
kukaa 72
kukata 67
kula 252
kulala 84
kulia 125
kumpiga 50
kuna 561
kunana 205
kununua 61
kunyonya 56
kunywa 56
kuona 165
kuongea 60
kupata 444
kupendeza 101
kupiga 213
kupitia 110
kurudi 88
kuruka 58
kusema 235
kusubiri 51
kutazama 63
kutoa 68
kutomba 612
kutosha 51
kutumia 71
kutupa 51
kuu 81
kuua 56
kuumwa 335
kuvaa 57
kuvunja 55
kuvuta 61
kuweka 123
kuzaliwa 83
kuzimu 125
kuzungumza 111
kwako 130
kwangu 204
kwanini 253
kweli 576
laini 53
lake 77
lako 86
langu 192
leo 350
lil 262
lmao 356
lmfao 93
lol 1024
maana 106
maandishi 67
mabaya 64
macho 105
madam 67
mafuta 154
magugu 76
mahali 146
maisha 279
majembe 1954
maji 63
mama 303
mambo 56
maneno 73
manjano 197
maoni 87
mapema 77
mapenzi 76
marafiki 151
mashabiki 78
mashoga 99
mavazi 52
mazungumzo 66
mbaya 841
mbele 88
mbwa 129
mchanga 95
mcyeye 275
mengine 55
mgonjwa 77
miaka 182
micyeye 112
miguu 109
milele 61
mjanja 58
mjinga 698
mjomba 52
mkali 62
mke 93
mkono 81
mkundu 174
mmoja 249
mnene 53
moshi 52
moto 173
moyo 74
mpaka 75
mpenzi 86
mpira 114
mpya 208
mrefu 64
msichaifanyi 393
msimu 76
msingi 98
mteremko 54
mtoto 1079
mtu 1313
muda 108
mungu 162
muziki 82
mvua 62
mvulana 72
mwaka 117
mwaminifu 70
mwanamke 173
mwangu 52
mwendawazimu 53
mweupe 85
mweusi 86
mwili 66
mwisho 147
mzuri 436
naapa 86
nachukia 71
nadhani 235
nafasi 61
nah 124
najua 164
nambari 64
nami 94
napenda 81
nataka 182
natamani 63
natumai 58
naw 63
naweza 60
naye 73
nayo 51
ndege 615
ndio 667
ndivyo 51
ndiye 137
nenda 126
neno 99
ngono 157
ngozi 127
ngumu 94
nguo 62
nguruwe 112
nguvu 91
nicca 164
niccas 101
nig 115
nigga 1683
niggah 287
niggas 138
nigger 249
nigguh 86
nika 104
nikesha 122
niko 231
nilikuwa 310
nilipata 147
nimekuwa 253
nimepata 112
nimu 89
nina 410
ninachukia 157
ninahitaji 97
ninapenda 132
ninataka 70
ninaweza 109
ningekuwa 61
ninyi 166
nireyeye 76
niri 68
niria 76
nishima 60
nitakuwa 69
nitto 242
niy 56
niza 373
nizo 313
njoo 88
nusu 83
nyamaza 50
nyani 157
nyekundu 112
nyeupe 176
nyeusi 100
nyuma 290
nyumba 120
nyumbani 207
nywele 161
nzima 69
nzuri 382
obama 67
omg 68
oreo 95
paka 75
peke 61
pekee 128
pesa 308
piga 126
porn 58
ppl 57
punda 1398
pussy 1838
rafiki 150
rahisi 80
rangi 293
redneck 61
risasi 103
safi 58
samahani 77
sauti 145
sawa 468
sema 63
seyeye 81
shangazi 72
shida 138
shit 813
shiti 54
shule 129
sijui 78
simu 212
sina 123
sinema 60
sipendi 55
sitaki 55
siwezi 244
smh 180
stfu 92
syeye 232
takataka 1034
tangu 64
tayari 181
tho 115
timu 98
tofauti 92
tryna 85
tweet 190
twitter 237
tyeye 213
uaminifu 74
uchi 76
uhusiano 65
ujinga 131
ujumbe 76
uko 77
ukungu 117
ukweli 126
ulikuwa 84
ulimwengu 63
una 211
unafanya 52
unahitaji 90
unajua 170
unapaswa 61
unataka 151
unaweza 256
unayo 92
ungekuwa 77
upande 119
upendo 85
usiku 320
usiwe 85
uso 146
uwanja 59
uwe 107
uwongo 98
vibanzi 78
vibaya 207
viboko 54
video 78
vidonda 150
vijiti 50
vipande 176
vipi 77
vitu 80
viunga 121
viunzi 72
viwiko 58
vizuri 179
wacha 108
wako 561
walikuwa 70
wana 113
wanapenda 73
wanataka 94
wanaume 92
wanawake 274
wanaweza 51
wangu 732
wapi 124
wasichaifanyi 271
wasiwasi 89
watoto 326
watu 565
wavulana 133
wawili 67
wazi 73
wazimu 186
wazungu 59
wazuri 56
wengi 103
wenye 99
weusi 70
wimbo 121
wit 80
wow 66
wtf 114
yall 163
yankee 328
yenye 75
yote 420
yuko 391
zamani 192
zote 288
